Level,Date and Time,Source,Event ID,Task Category,Message
Information,2026-05-02 17:26:00,Microsoft-Windows-Security-Auditing,4634,None,The operation completed successfully.
Information,2026-05-02 17:48:00,Microsoft-Windows-DriverFrameworks-UserMode,10111,None,The update operation completed.
Warning,2026-05-02 18:37:00,Service Control Manager,7031,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-02 19:05:00,Microsoft-Windows-DistributedCOM,10010,None,A Windows service changed state.
Information,2026-05-02 20:46:00,Microsoft-Windows-DistributedCOM,10010,None,The operation completed successfully.
Information,2026-05-02 20:53:00,Microsoft-Windows-WindowsUpdateClient,19,None,A user session was started.
Error,2026-05-02 21:18:00,Microsoft-Windows-DistributedCOM,10010,None,An application stopped responding.
Information,2026-05-02 21:24:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Warning,2026-05-02 21:26:00,Microsoft-Windows-Kernel-Power,109,None,A device reported a recoverable condition.
Information,2026-05-02 21:56:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Warning,2026-05-02 22:24:00,Microsoft-Windows-WindowsUpdateClient,43,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-02 23:17:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Information,2026-05-03 00:42:00,Microsoft-Windows-WindowsUpdateClient,31,None,A Windows service changed state.
Information,2026-05-03 01:16:00,Service Control Manager,7040,None,The update operation completed.
Warning,2026-05-03 01:31:00,Service Control Manager,7031,None,A service took longer than expected to respond.
Warning,2026-05-03 01:53:00,Service Control Manager,7031,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-03 02:29:00,Microsoft-Windows-DistributedCOM,10016,None,The operation completed successfully.
Information,2026-05-03 02:50:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Information,2026-05-03 03:22:00,Microsoft-Windows-Security-Auditing,4624,None,The operation completed successfully.
Information,2026-05-03 03:30:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Warning,2026-05-03 04:00:00,Service Control Manager,7001,None,A device reported a recoverable condition.
Information,2026-05-03 04:33:00,Microsoft-Windows-Security-Auditing,4634,None,The update operation completed.
Information,2026-05-03 04:42:00,Microsoft-Windows-WindowsUpdateClient,19,None,The operation completed successfully.
Information,2026-05-03 04:50:00,Microsoft-Windows-DistributedCOM,10010,None,A user session was started.
Error,2026-05-03 06:02:00,Microsoft-Windows-DistributedCOM,10010,None,An update could not be installed.
Information,2026-05-03 06:14:00,Service Control Manager,7001,None,The update operation completed.
Information,2026-05-03 06:59:00,Microsoft-Windows-DistributedCOM,10016,None,A Windows service changed state.
Error,2026-05-03 07:18:00,Service Control Manager,7040,None,An update could not be installed.
Information,2026-05-03 07:29:00,Microsoft-Windows-DriverFrameworks-UserMode,10111,None,The update operation completed.
Information,2026-05-03 07:46:00,Microsoft-Windows-DriverFrameworks-UserMode,10111,None,A Windows service changed state.
Information,2026-05-03 07:52:00,Service Control Manager,7040,None,A user session was started.
Information,2026-05-03 09:10:00,Microsoft-Windows-DistributedCOM,10010,None,A Windows service changed state.
Information,2026-05-03 09:15:00,Microsoft-Windows-DistributedCOM,10010,None,The operation completed successfully.
Information,2026-05-03 09:18:00,Application Error,1000,None,The operation completed successfully.
Error,2026-05-03 10:17:00,Winlogon,6005,None,A user logon attempt failed.
Information,2026-05-03 10:17:00,Microsoft-Windows-Security-Auditing,4624,None,The operation completed successfully.
Information,2026-05-03 10:46:00,Microsoft-Windows-Security-Auditing,4634,None,The operation completed successfully.
Information,2026-05-03 10:57:00,Microsoft-Windows-Security-Auditing,4624,None,A Windows service changed state.
Information,2026-05-03 10:59:00,Microsoft-Windows-Security-Auditing,4624,None,A user session was started.
Warning,2026-05-03 11:15:00,Microsoft-Windows-WindowsUpdateClient,43,None,A device reported a recoverable condition.
Information,2026-05-03 11:22:00,Microsoft-Windows-Security-Auditing,4624,None,A user session was started.
Error,2026-05-03 12:11:00,Microsoft-Windows-DistributedCOM,10010,None,An update could not be installed.
Warning,2026-05-03 12:14:00,Microsoft-Windows-DistributedCOM,10016,None,A device reported a recoverable condition.
Warning,2026-05-03 12:20:00,Microsoft-Windows-DistributedCOM,10010,None,A device reported a recoverable condition.
Information,2026-05-03 12:26:00,Microsoft-Windows-DistributedCOM,10010,None,A user session was started.
Error,2026-05-03 12:36:00,Service Control Manager,7000,None,An update could not be installed.
Information,2026-05-03 12:40:00,Microsoft-Windows-DistributedCOM,10016,None,A Windows service changed state.
Information,2026-05-03 13:07:00,Service Control Manager,7000,None,A Windows service changed state.
Information,2026-05-03 13:12:00,Service Control Manager,7001,None,A Windows service changed state.
Information,2026-05-03 13:20:00,Application Error,1000,None,The operation completed successfully.
Warning,2026-05-03 13:35:00,Winlogon,6006,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-03 14:53:00,Microsoft-Windows-WindowsUpdateClient,20,None,A user session was started.
Error,2026-05-03 14:57:00,Service Control Manager,7000,None,A user logon attempt failed.
Warning,2026-05-03 15:01:00,Microsoft-Windows-WindowsUpdateClient,19,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-03 15:09:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Information,2026-05-03 15:15:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Information,2026-05-03 16:02:00,Service Control Manager,7000,None,The update operation completed.
Information,2026-05-03 16:03:00,Microsoft-Windows-DistributedCOM,10010,None,The operation completed successfully.
Warning,2026-05-03 16:19:00,Microsoft-Windows-DistributedCOM,10010,None,A device reported a recoverable condition.
Information,2026-05-03 16:47:00,Microsoft-Windows-Security-Auditing,4624,None,The operation completed successfully.
Information,2026-05-03 18:23:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Information,2026-05-03 18:58:00,Microsoft-Windows-Kernel-Power,41,None,A user session was started.
Warning,2026-05-03 19:00:00,Microsoft-Windows-DistributedCOM,10016,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-03 19:24:00,Service Control Manager,7031,None,A user session was started.
Warning,2026-05-03 20:09:00,Service Control Manager,7000,None,A service took longer than expected to respond.
Error,2026-05-03 20:28:00,Microsoft-Windows-DistributedCOM,10016,None,A service terminated unexpectedly.
Information,2026-05-03 20:40:00,Microsoft-Windows-DistributedCOM,10010,None,A user session was started.
Information,2026-05-03 21:48:00,Microsoft-Windows-DistributedCOM,10016,None,The operation completed successfully.
Warning,2026-05-03 23:00:00,Microsoft-Windows-WindowsUpdateClient,20,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-03 23:53:00,Microsoft-Windows-WindowsUpdateClient,43,None,The update operation completed.
Warning,2026-05-04 00:06:00,Microsoft-Windows-DistributedCOM,10010,None,A service took longer than expected to respond.
Information,2026-05-04 00:19:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Error,2026-05-04 00:21:00,Microsoft-Windows-WindowsUpdateClient,19,None,An update could not be installed.
Warning,2026-05-04 02:50:00,Microsoft-Windows-DistributedCOM,10016,None,A device reported a recoverable condition.
Critical,2026-05-04 03:15:00,Service Control Manager,7000,None,The system rebooted without cleanly shutting down first.
Critical,2026-05-04 03:35:00,Microsoft-Windows-DistributedCOM,10010,None,The system rebooted without cleanly shutting down first.
Information,2026-05-04 03:41:00,Microsoft-Windows-DistributedCOM,10010,None,The operation completed successfully.
Warning,2026-05-04 04:01:00,Microsoft-Windows-Kernel-Power,41,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-04 04:07:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Information,2026-05-04 04:23:00,Microsoft-Windows-WindowsUpdateClient,31,None,The update operation completed.
Warning,2026-05-04 04:50:00,Microsoft-Windows-DistributedCOM,10010,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-04 05:02:00,Service Control Manager,7031,None,The update operation completed.
Information,2026-05-04 05:05:00,Microsoft-Windows-WindowsUpdateClient,43,None,The update operation completed.
Information,2026-05-04 05:11:00,Winlogon,6006,None,The update operation completed.
Warning,2026-05-04 05:28:00,Service Control Manager,7040,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-04 06:24:00,Microsoft-Windows-Security-Auditing,4624,None,A Windows service changed state.
Information,2026-05-04 06:46:00,Microsoft-Windows-Security-Auditing,4624,None,A user session was started.
Information,2026-05-04 07:20:00,Service Control Manager,7040,None,A Windows service changed state.
Warning,2026-05-04 07:27:00,Microsoft-Windows-DistributedCOM,10016,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-04 07:43:00,Winlogon,6006,None,The update operation completed.
Error,2026-05-04 08:14:00,Microsoft-Windows-DistributedCOM,10010,None,A service terminated unexpectedly.
Information,2026-05-04 08:18:00,Microsoft-Windows-DistributedCOM,10016,None,A Windows service changed state.
Information,2026-05-04 08:22:00,Service Control Manager,7001,None,A user session was started.
Information,2026-05-04 09:03:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Information,2026-05-04 09:28:00,Microsoft-Windows-DistributedCOM,10016,None,The operation completed successfully.
Information,2026-05-04 09:53:00,Microsoft-Windows-WindowsUpdateClient,43,None,The operation completed successfully.
Information,2026-05-04 10:54:00,Microsoft-Windows-Security-Auditing,4634,None,A Windows service changed state.
Information,2026-05-04 11:13:00,Microsoft-Windows-DistributedCOM,10010,None,A Windows service changed state.
Information,2026-05-04 13:12:00,Microsoft-Windows-Security-Auditing,4634,None,A user session was started.
Information,2026-05-04 13:50:00,Microsoft-Windows-Security-Auditing,4624,None,A user session was started.
Information,2026-05-04 13:51:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Warning,2026-05-04 14:37:00,Microsoft-Windows-DistributedCOM,10016,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-04 15:19:00,Microsoft-Windows-WindowsUpdateClient,20,None,The operation completed successfully.
Warning,2026-05-04 15:52:00,Microsoft-Windows-Kernel-Power,109,None,A device reported a recoverable condition.
Information,2026-05-04 16:21:00,Service Control Manager,7031,None,The operation completed successfully.
Information,2026-05-04 16:29:00,Microsoft-Windows-Security-Auditing,4624,None,A user session was started.
Error,2026-05-04 17:00:00,Microsoft-Windows-DistributedCOM,10016,None,An application stopped responding.
Information,2026-05-04 17:15:00,Microsoft-Windows-WindowsUpdateClient,19,None,The update operation completed.
Information,2026-05-04 17:24:00,Microsoft-Windows-WindowsUpdateClient,43,None,A Windows service changed state.
Information,2026-05-04 18:20:00,Service Control Manager,7040,None,The operation completed successfully.
Warning,2026-05-04 18:38:00,Microsoft-Windows-WindowsUpdateClient,43,None,A device reported a recoverable condition.
Information,2026-05-04 18:49:00,Service Control Manager,7031,None,The update operation completed.
Information,2026-05-04 19:47:00,Microsoft-Windows-DistributedCOM,10016,None,The operation completed successfully.
Information,2026-05-04 19:59:00,Microsoft-Windows-WindowsUpdateClient,31,None,A user session was started.
Error,2026-05-04 20:19:00,Service Control Manager,7031,None,An application stopped responding.
Warning,2026-05-04 21:02:00,Microsoft-Windows-Kernel-Power,109,None,A device reported a recoverable condition.
Warning,2026-05-04 21:16:00,Application Error,1000,None,A device reported a recoverable condition.
Information,2026-05-04 21:33:00,Winlogon,6006,None,The operation completed successfully.
Warning,2026-05-04 22:35:00,Microsoft-Windows-WindowsUpdateClient,20,None,A service took longer than expected to respond.
Information,2026-05-04 22:44:00,Application Error,1001,None,A user session was started.
Information,2026-05-04 23:07:00,Service Control Manager,7001,None,The update operation completed.
Information,2026-05-04 23:11:00,Microsoft-Windows-DistributedCOM,10010,None,The operation completed successfully.
Warning,2026-05-04 23:43:00,Microsoft-Windows-Kernel-Power,41,None,A service took longer than expected to respond.
Error,2026-05-05 00:12:00,Microsoft-Windows-Kernel-Power,109,None,A user logon attempt failed.
Information,2026-05-05 00:16:00,Microsoft-Windows-DistributedCOM,10010,None,A user session was started.
Error,2026-05-05 00:34:00,Microsoft-Windows-Kernel-Power,109,None,An update could not be installed.
Information,2026-05-05 01:41:00,Winlogon,6005,None,A Windows service changed state.
Warning,2026-05-05 01:57:00,Service Control Manager,7000,None,A service took longer than expected to respond.
Information,2026-05-05 02:37:00,Microsoft-Windows-WindowsUpdateClient,20,None,The update operation completed.
Error,2026-05-05 02:44:00,Microsoft-Windows-DriverFrameworks-UserMode,10110,None,A user logon attempt failed.
Error,2026-05-05 02:57:00,Microsoft-Windows-DistributedCOM,10016,None,A user logon attempt failed.
Information,2026-05-05 03:13:00,Microsoft-Windows-WindowsUpdateClient,20,None,A Windows service changed state.
Information,2026-05-05 03:18:00,Microsoft-Windows-WindowsUpdateClient,43,None,A user session was started.
Information,2026-05-05 03:21:00,Microsoft-Windows-DriverFrameworks-UserMode,10111,None,The operation completed successfully.
Error,2026-05-05 04:04:00,Application Error,1001,None,A user logon attempt failed.
Information,2026-05-05 04:23:00,Microsoft-Windows-Security-Auditing,4634,None,A user session was started.
Information,2026-05-05 04:24:00,Microsoft-Windows-DistributedCOM,10016,None,A Windows service changed state.
Critical,2026-05-05 05:01:00,Microsoft-Windows-WindowsUpdateClient,31,None,A critical system component stopped unexpectedly.
Information,2026-05-05 05:30:00,Service Control Manager,7000,None,A user session was started.
Warning,2026-05-05 05:34:00,Microsoft-Windows-DistributedCOM,10016,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-05 06:19:00,Microsoft-Windows-Security-Auditing,4624,None,The operation completed successfully.
Information,2026-05-05 08:00:00,Microsoft-Windows-DistributedCOM,10016,None,The operation completed successfully.
Information,2026-05-05 08:14:00,Service Control Manager,7001,None,A Windows service changed state.
Information,2026-05-05 08:18:00,Microsoft-Windows-DistributedCOM,10010,None,A Windows service changed state.
Information,2026-05-05 08:53:00,Microsoft-Windows-Security-Auditing,4624,None,A Windows service changed state.
Warning,2026-05-05 09:20:00,Microsoft-Windows-WindowsUpdateClient,20,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-05 10:49:00,Microsoft-Windows-Security-Auditing,4624,None,A user session was started.
Information,2026-05-05 11:02:00,Microsoft-Windows-DistributedCOM,10016,None,The update operation completed.
Warning,2026-05-05 11:07:00,Microsoft-Windows-DistributedCOM,10010,None,A device reported a recoverable condition.
Information,2026-05-05 11:24:00,Microsoft-Windows-Security-Auditing,4624,None,The operation completed successfully.
Information,2026-05-05 12:23:00,Microsoft-Windows-WindowsUpdateClient,43,None,The operation completed successfully.
Warning,2026-05-05 12:27:00,Winlogon,6006,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-05 13:33:00,Microsoft-Windows-Security-Auditing,4634,None,A user session was started.
Information,2026-05-05 13:55:00,Microsoft-Windows-DistributedCOM,10010,None,A Windows service changed state.
Warning,2026-05-05 14:49:00,Service Control Manager,7000,None,A service took longer than expected to respond.
Information,2026-05-05 15:27:00,Microsoft-Windows-WindowsUpdateClient,31,None,A Windows service changed state.
Information,2026-05-05 16:53:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Information,2026-05-05 17:11:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Error,2026-05-05 17:28:00,Service Control Manager,7031,None,A service terminated unexpectedly.
Information,2026-05-05 18:31:00,Microsoft-Windows-DistributedCOM,10010,None,The operation completed successfully.
Error,2026-05-05 20:01:00,Microsoft-Windows-DistributedCOM,10010,None,A user logon attempt failed.
Information,2026-05-05 20:15:00,Microsoft-Windows-DistributedCOM,10016,None,The update operation completed.
Warning,2026-05-06 00:49:00,Microsoft-Windows-DriverFrameworks-UserMode,10110,None,A device reported a recoverable condition.
Information,2026-05-06 01:28:00,Service Control Manager,7031,None,The update operation completed.
Information,2026-05-06 02:29:00,Winlogon,6006,None,A user session was started.
Information,2026-05-06 02:47:00,Service Control Manager,7040,None,A Windows service changed state.
Warning,2026-05-06 04:35:00,Microsoft-Windows-DistributedCOM,10016,None,A service took longer than expected to respond.
Information,2026-05-06 05:34:00,Microsoft-Windows-DistributedCOM,10010,None,A user session was started.
Error,2026-05-06 05:43:00,Application Error,1000,None,An application stopped responding.
Warning,2026-05-06 06:23:00,Microsoft-Windows-DistributedCOM,10010,None,A device reported a recoverable condition.
Information,2026-05-06 06:31:00,Service Control Manager,7001,None,The operation completed successfully.
Information,2026-05-06 07:06:00,Microsoft-Windows-Security-Auditing,4624,None,A Windows service changed state.
Error,2026-05-06 07:23:00,Microsoft-Windows-DistributedCOM,10010,None,A service terminated unexpectedly.
Warning,2026-05-06 08:54:00,Microsoft-Windows-DistributedCOM,10010,None,A service took longer than expected to respond.
Information,2026-05-06 10:26:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Information,2026-05-06 10:52:00,Microsoft-Windows-Security-Auditing,4624,None,The update operation completed.
Information,2026-05-06 10:55:00,Microsoft-Windows-DriverFrameworks-UserMode,10111,None,A Windows service changed state.
Information,2026-05-06 10:57:00,Service Control Manager,7000,None,The operation completed successfully.
Information,2026-05-06 11:07:00,Service Control Manager,7031,None,A user session was started.
Information,2026-05-06 11:33:00,Microsoft-Windows-Security-Auditing,4634,None,A Windows service changed state.
Warning,2026-05-06 13:02:00,Service Control Manager,7000,None,A service took longer than expected to respond.
Information,2026-05-06 13:31:00,Microsoft-Windows-DriverFrameworks-UserMode,10111,None,A Windows service changed state.
Information,2026-05-06 13:37:00,Microsoft-Windows-Kernel-Power,41,None,A Windows service changed state.
Information,2026-05-06 14:29:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Error,2026-05-06 16:02:00,Winlogon,6006,None,A service terminated unexpectedly.
Information,2026-05-06 16:12:00,Service Control Manager,7001,None,A Windows service changed state.
Error,2026-05-06 16:23:00,Microsoft-Windows-DistributedCOM,10010,None,A service terminated unexpectedly.
Warning,2026-05-06 16:38:00,Microsoft-Windows-WindowsUpdateClient,43,None,A service took longer than expected to respond.
Warning,2026-05-06 17:09:00,Microsoft-Windows-DistributedCOM,10010,None,A device reported a recoverable condition.
Information,2026-05-06 17:42:00,Application Error,1001,None,A user session was started.
Information,2026-05-06 18:11:00,Winlogon,6006,None,A Windows service changed state.
Warning,2026-05-06 19:32:00,Microsoft-Windows-DriverFrameworks-UserMode,10110,None,A device reported a recoverable condition.
Information,2026-05-06 20:23:00,Service Control Manager,7000,None,The operation completed successfully.
Information,2026-05-06 20:27:00,Microsoft-Windows-Kernel-Power,109,None,A user session was started.
Information,2026-05-06 20:32:00,Microsoft-Windows-Security-Auditing,4634,None,The operation completed successfully.
Information,2026-05-06 22:16:00,Microsoft-Windows-DistributedCOM,10016,None,The update operation completed.
Information,2026-05-06 22:21:00,Microsoft-Windows-DistributedCOM,10010,None,The operation completed successfully.
Information,2026-05-06 22:34:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Information,2026-05-06 22:56:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Information,2026-05-06 23:13:00,Service Control Manager,7001,None,A user session was started.
Information,2026-05-06 23:37:00,Microsoft-Windows-Security-Auditing,4634,None,The update operation completed.
Warning,2026-05-07 00:10:00,Microsoft-Windows-DistributedCOM,10016,None,A device reported a recoverable condition.
Information,2026-05-07 00:30:00,Service Control Manager,7000,None,The update operation completed.
Information,2026-05-07 00:43:00,Service Control Manager,7040,None,The update operation completed.
Information,2026-05-07 00:49:00,Application Error,1000,None,The operation completed successfully.
Information,2026-05-07 01:14:00,Microsoft-Windows-DistributedCOM,10016,None,The operation completed successfully.
Information,2026-05-07 01:43:00,Application Error,1000,None,The operation completed successfully.
Information,2026-05-07 01:58:00,Microsoft-Windows-WindowsUpdateClient,31,None,The operation completed successfully.
Warning,2026-05-07 02:20:00,Microsoft-Windows-DriverFrameworks-UserMode,10110,None,A service took longer than expected to respond.
